学校名称,招生计划（人）,招生区域,是否占校额
十一学校,80,全区,否
101中学,80,全区,否
北大附中,40,全区,否
清华附中,40,全区,否
人大附中,40,全区,否
首师大附中,40,全区,否
育英学校,20,区域一、四,是
育英中学,180,区域一、四,是
十一实验中学,60,区域一,是
育英学校-航天校区,200,区域一,是
十一学校一分校,10,区域一,是
玉渊潭中学,170,区域一,是
五十七中学,160,区域一,是
人大附中翠微学校,80,区域一,是
进修实验学校-北校区,40,区域一、三、四,否
育鸿学校,40,区域一,是
进修实验学校-南校区,100,区域一、四,否
理工附中-南校区,160,区域一、四,是
北京实验学校,90,区域四,是
首师大二附中,100,区域四,是
海淀实验中学,180,区域四,是
理工附中-东校区,60,区域三、四,否
一0一中学-双榆树校区,80,区域三,是
十一学校龙樾实验中学,40,区域五,是
北外附中,40,区域四,是
交大附中,80,区域二、三、四,否
交大附中二分校,120,区域二、三、四,是
人大附中西山学校,60,区域五,是
北师大三附中,230,区域二、三、四,是
交大附中分校,120,区域二、三、四,是
八一学校,180,区域三、四、五,否
中关村中学,200,区域二、三、五,否
中关村中学-知春分校,120,区域三,是
十九中学,200,区域三、四,否
交大附中-东校区,100,区域二,是
北航实验学校分校,30,区域二、三、五,否
地大附中,120,区域二、五,是
北医附中,100,区域二、三,是
科大附中,200,区域二、五,是
矿大附中,120,区域二、五,是
石油附中,180,区域二、五,是
上地实验学校,50,区域五,是
八一学校玉泉中学,120,区域五,是
一0一中学-温泉校区,80,区域五,是
二十中学,120,区域二、五,否
清河中学,120,区域五,是
二十中学-新都校区,80,区域五,是
农大附中,60,区域五,是
中法实验学校,120,区域五,是
四十七中,100,区域五,是
上庄中学,60,区域五,是
上庄二中,100,区域五,是
清华附中永丰学校,40,区域五,是
人大附中二分校,60,区域三、四,是
首师大附中一分校,140,区域一,是
首师大附中北校区,80,区域二、三、五,是
北部新区实验学校,60,区域五,是
北航实验学校,40,区域二、三、五,否
首师大附属玉泉学校,80,区域四,是
育新学校,40,区域五,是
清华附中上地学校,40,区域五,是
二十中实验学校,100,区域五,是
北大附中香山学校,100,区域四,是
北外附校（政府购买学位）,40,区域五,是
