办园类型,幼儿园名称,地址,评级
民办园,北京市海淀区锦绣明天森林幼儿园,北京市海淀区西北旺镇规划西路2号,B
民办园,北京市海淀区本真双语艺术幼稚园,北京市海淀区二里庄小区内,B
民办园,北京市海淀区红黄蓝颐东苑幼儿园,青龙桥村委会,B
民办园,北京市海淀区红缨幼儿园,北京市海淀区马连洼百旺嘉苑西区39号,B
民办园,北京市海淀区凯尔宝宝婴幼园,北京市海淀区西三旗花园二里11号楼,B
民办园,北京市海淀区蓝宝特幼儿园,北京市海淀区四道口1号8号楼,B
民办园,北京市海淀区乐全时艺术实验幼儿园,北京市海淀区文慧园北路9号,B
民办园,北京市海淀区乐融幼儿园,北京市海淀区通汇路18号,B
民办园,北京市海淀区领秀硅谷凯尔宝宝婴幼园,北京市海淀区西二旗中路6号院（领秀硅谷社区）A区6号楼,B
民办园,北京市海淀区世纪汇佳幼儿园,北京市海淀区昆明湖南路62号,B
民办园,北京市海淀区万泉汇佳幼儿园,北京市海淀区巴沟南路35号院万泉新新家园13号楼,B
民办园,北京市海淀区宜宝双语幼儿园,北京市海淀区清河永泰新地标甲17号,B
民办园,北京市海淀区小汉顿幼儿园,北京市海淀区苏州街大河庄苑8号楼,B
民办园,北京市世纪阳光幼儿园,北京市海淀区板井路73号,B
民办园,北京市海淀区亿城蓝天幼儿园,北京市海淀区马连洼竹园住宅小区,B
民办园,北京市海淀区银河之星幼儿园,北京市海淀区万寿路八宝庄252,B
民办园,北京市海淀区英才幼儿园,北京市海淀区北四环中路志新小区12号,B
民办园,北京市海淀区智合国学双语幼儿园,北京市海淀区清河清缘东里3号楼,B
民办园,北京市海淀区中科幼教中关村实验幼儿园,北京市海淀区中国科学院东南小区932号,B
民办园,北京市幼儿师范学校附属幼儿园,北京市海淀区清河小营阳光北里1号,B
民办园,北京小天使美语幼儿园,北京市海淀区车道沟南里小区13号楼,B
民办园,北京阳光儿童早期教育实验中心,北京市海淀区翠微北里10号,B
民办园,北京市育龙幼儿园,北京市海淀区清华东路东王庄小区7号,B
民办园,北京市海淀区布朗幼儿园,北京市海淀区魏公村街韦伯豪家园10号楼,B
民办园,北京市海淀区朝昭双语婴幼园,北京市海淀区西三旗街道办事处沁春家园社区居员会,B
民办园,北京市海淀区绿橙幼儿园,田村社区居委会,B
民办园,北京市海淀区三色幼儿园,北京市海淀区高粱桥斜街19号院2号楼,B
民办园,北京市海淀区世纪新汇佳幼儿园,北京市海淀区蓝靛厂西路3号,B
民办园,北京市海淀区现代艺术幼儿园,北京市海淀区知春路罗庄西里七号,B
民办园,北京市海淀区锦绣明天莲宝幼儿园,北京市海淀区吴家村路10号院甲1号楼,B
民办园,北京市海淀区凯蒂幼儿园,北京市海淀区西二旗西路2号院86号楼,B
民办园,北京市海淀区美华彩苑外国语幼儿园,北京市海淀区北坞村路23号院,B
民办园,北京市海淀区启明华清幼儿园,北京市海淀区五道口华清嘉园11号,B
民办园,北京市海淀区为明西山幼儿园,北京市海淀区信息路33号院,B
民办园,北京市海淀区未来之星实验幼儿园,北京市海淀区学院路14号院新区街道办事处768社区居委会,B
民办园,北京市海淀区英才美丽园幼儿园,北京市海淀区五棵松路20号,B
民办园,北京市海淀区长河湾汇佳幼儿园,北京市海淀区高粱桥斜街59号,B
民办园,北京海淀区小星星双语艺术幼儿园菊园分园,北京市海淀区马连洼菊园小区,B
民办园,北京市海淀区大有双语幼儿园,北京市海淀区大有庄北上坡9号,B
民办园,北京岭南幼儿园,北京市海淀区八里庄街道八宝庄甲26号,B
民办园,北京市海淀区红黄蓝多元智能实验幼儿园,北京市海淀区花园北路35号院,B
民办园,北京市海淀区培杰幼儿园,北京市海淀区宝盛里马坊新村一期B区B34#小区,B
公办园,北京市海淀区钢铁研究总院幼儿园,北京市海淀区学院南路76号,B
公办园,北京市海淀区新华社机关事务管理局保育院,北京市海淀区羊坊店路3号,B
公办园,航天机关幼儿园,北京市海淀区阜成路8号院,B
公办园,北京公交鸿运承幼教中心第三幼儿园,北京市海淀区小西天电车公司宿舍内,B
公办园,北京市海淀区水务局幼儿园,北京市海淀区西四环中路10号,B
公办园,北京市海淀区中关村街道第一幼儿园,北京市海淀区中关村北一街甲十三楼,B
公办园,北京市海淀区中国气象局幼儿园,北京市海淀区中关村南大街46号,B
公办园,中国人民解放军国防大学联合勤务学院幼儿园,北京海淀区万寿路28号,B
公办园,中国铁道科学研究院集团有限公司幼儿园,北京市海淀区西直门外大柳树路2号,B
公办园,住房和城乡建设部幼儿园,北京市海淀区三里河路9号院,B
公办园,北京市海淀区民族幼儿园,北京市海淀区马甸玉兰园小区2号楼,B
公办园,北京航空材料研究院幼儿园,北京市海淀区温泉镇环山村,B
公办园,中国石油集团科学技术研究院幼儿园,北京市海淀区学院路20号S石油大院,B
公办园,北京市海淀区苏家坨镇中心幼儿园,北京市海淀区苏家坨镇北安河村,B
公办园,北京市海淀区翠湖幼儿园,北京市海淀区上庄镇政府北100米,B
