办园类型,幼儿园名称,地址,电话
普惠民办,北京市海淀区英才美丽园幼儿园,北京市海淀区五棵松路20号,88591809
普惠民办,北京岭南幼儿园,北京市海淀区定慧东里34号楼,88149546
普惠民办,北京市海淀区长河湾汇佳幼儿园,北京市海淀区高粱桥斜街59号长河湾小区,82149913
普惠民办,北京市海淀区世纪新汇佳幼儿园,北京市海淀区蓝靛厂西路3号,88874145
普惠民办,北京市海淀区英才幼儿园,北京市海淀区北四环中路志新小区12号,62324145
普惠民办,北京市海淀区万泉汇佳幼儿园,北京市海淀区巴沟南路35号院万泉新新家园13号楼,82551751
普惠民办,北京市二十一世纪实验幼儿园,北京市海淀区恩济里小区10号楼,88504804
普惠民办,北京市世纪阳光幼儿园,北京市海淀区板井路73号,88507029
普惠民办,北京市海淀区布朗幼儿园,北京市海淀区魏公村街韦伯豪家园10号楼,88571503
普惠民办,北京市海淀区凯蒂幼儿园,北京市海淀区西二旗西路2号院86号楼,58465556/82810358
普惠民办,北京市海淀区太阳幼儿园,北京市海淀区大钟寺太阳园7号楼,82112776
普惠民办,北京市海淀区太阳幼儿园（太月园）,海淀区知春路太月园小区5号楼,82112776
普惠民办,北京阳光儿童早期教育实验中心,北京市海淀区翠微北里10号,68291698-824
普惠民办,北京小天使美语幼儿园,北京市海淀区车道沟南里小区13号楼北京小天使美语幼儿园,68719561/68712313
普惠民办,北京市海淀区领秀硅谷凯尔宝宝婴幼园,北京市海淀区西二旗中路6号院（领秀硅谷社区）A区6号楼,82748673
普惠民办,北京市海淀区朝昭双语婴幼园,北京市海淀区西三旗东路3号沁春家园内,82905841
普惠民办,北京市海淀区凯尔宝宝婴幼园,北京市海淀区西三旗花园二里11号楼,82909858
普惠民办,北京市海淀区世纪汇佳幼儿园,北京市海淀区四季青昆明湖南路62号,88595252
普惠民办,北京市海淀区二十一世纪实验幼儿园,北京市海淀区四季青乡曙光花园望河园8号楼,88445496
普惠民办,北京市海淀区宜宝双语幼儿园,北京市海淀区清河永泰园新地标甲17号,82751372
普惠民办,北京市海淀区北京大学附属小学实验幼儿园,北京市海淀区西北旺新村德惠路一号院29楼,62765060
普惠民办,北京市海淀区上林溪二十一世纪实验幼儿园,北京市海淀区安宁庄东路上林溪小区安宁华庭11号楼,82731360
普惠民办,北京市海淀区为明实验幼儿园,北京市海淀区四季青镇巨山路燕西台别墅区甲21号为明实验幼儿园,62735430-0/18211196150
普惠民办,北京市海淀区亿城蓝天幼儿园,北京市海淀区马连洼竹园住宅小区（亿城蓝天幼儿园）,62739402
普惠民办,北京市海淀区培杰幼儿园,北京市海淀区宝盛里观林园小区34号楼,60603912
